,file,Name,Parties,First Party,Second Party,Agreement Date,Effective Date,Expiration Date,Notice Period,Anti-Assignment,Amount,Condition for termination of contract,Limit the ability of a party to transfer the license being granted to a third party,File,first_party_location,second_party_location
17,BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.docx,JOINT FILING AGREEMENT,"['BANK OF AMERICA CORPORATION', 'BANC OF AMERICA PREFERRED FUNDING CORPORATION']",BANK OF AMERICA CORPORATION,BANC OF AMERICA PREFERRED FUNDING CORPORATION,"April 7, 2020","April 7, 2020",,,,,"This agreement shall remain in full force and effect until revoked by any party hereto in a signed writing provided to each other party hereto, and then only with respect to such revoking party.",,BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.docx,Null,Null
18,BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT.docx,AGREEMENT,"['YourNetPlus.com, Inc.', 'Kingdom Connect, Inc.']","YourNetPlus.com, Inc.","Kingdom Connect, Inc.",12th day of May 2003,12th day of May 2003,,90 days,Yes,"750,000 shares of Kingdom Connect, Inc. Series A Preferred Stock","The agreement shall renew automatically each year thereafter, unless either party serves written notice of its intention not to renew, on the other at least 90 days prior to the expiration of the then current term of this agreement.",Yes,BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT.docx,NY,NV
19,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.docx,JOINT CONTENT LICENSE AGREEMENT,"['WPT Enterprises, Inc.', 'ZYNGA INC.', 'ZYNGA GAME IRELAND LIMITED']","WPT Enterprises, Inc.","ZYNGA INC., ZYNGA GAME IRELAND LIMITED","February 1, 2018","February 1, 2018",,thirty (30) days,Yes,"$3,000,000 per year","Each party shall have the right at any time to terminate this Agreement without prejudice to any rights which it may have, whether pursuant to the provisions of this Agreement or otherwise in law or in equity or otherwise, upon the occurrence of any one or more of the following events: The other party breaches or fails to perform any of its material obligations provided for in this Agreement; The other party is unable to pay its debts when due, or makes any assignment for the benefit of creditors, or files any petition under the bankruptcy or insolvency laws of any jurisdiction, county or place, or has or suffers a receiver or trustee to be appointed for its business or property, or is adjudicated a bankrupt or an insolvent; or The other party asserts any rights in or to the terminating party’s intellectual property in violation of this Agreement.",Yes,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.docx,California,California
20,"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.docx",Sponsorship Agreement,"['R. C. Boyd Enterprises, LLC', 'Cano Petroleum, Inc.']","R. C. Boyd Enterprises, LLC","Cano Petroleum, Inc.","December 5, 2007","January 1, 2008","December 31, 2008",10 days,Yes,"$150,000.00","The contract can be terminated if Cano fails to make any payment when required by the agreement, following a 10-day written notice period.",Yes,"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.docx",Texas,Texas
21,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.docx,Customization Schedule,"['Bank of America, N.A.', '<<enter Company Name>>']","Bank of America, N.A.",<<enter Company Name>>,,,,,,,"Bank of America may terminate this Schedule if the proposed price is increased by Supplier upon delivery to Bank of America of detailed specifications or at any other time hereafter, and shall receive a refund of all amounts previously paid hereunder.",,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.docx,Null,Null
22,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.docx,Schedule,"['Cardlytics, Inc.', 'Bank of America, N. A']","Cardlytics, Inc.","Bank of America, N. A","March 3, 2011",,,,,,,,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.docx,Atlanta,Null
23,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.docx,Product License Schedule,"['Bank of America, N.A.', 'Cardlytics']","Bank of America, N.A.",Cardlytics,,,,,Yes,,Bank of America may terminate Maintenance Services for convenience at any time in accordance with the Section entitled “Termination” of the Agreement.,Yes,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.docx,Null,Null
24,Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.docx,Amendment,"['Cerus Corporation', 'Porex Corporation']",Cerus Corporation,Porex Corporation,"June 22, 2018","April 1, 2018",,,Yes,,The contract can be terminated with a written notice.,Yes,Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.docx,Null,Null
25,CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.docx,Wholesale Marketing Agreement,"['ALPS Distributors, Inc.', 'S2K Financial LLC']","ALPS Distributors, Inc.",S2K Financial LLC,24th day of August 2018,Effective Date,60th day following a written notice from one party to the other,60-day period,"No party to this Agreement has the right to assign any of its rights or obligations hereunder, except as already set forth under this Agreement.",applicable dealer reallowance fee,The term of this Agreement shall commence on the Effective Date and shall end on the 60th day following a written notice from one party to the other of its decision to terminate this Agreement at the end of such 60-day period or upon termination of the applicable Distribution Agreement with respect to a Fund.,Yes,CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.docx,Colorado,Delaware
26,ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.docx,Cooperation Agreement,"['ValueAct Group', 'Allison Transmission Holdings, Inc.', 'Gregory P. Spivy']",ValueAct Group,"Allison Transmission Holdings, Inc.","December 12, 2014","December 12, 2014",60th day prior to the Company’s 2016 annual meeting of stockholders,60 days,Yes,,"The agreement can be terminated if the ValueAct Group ceases to beneficially own at least 7.5% of the Company’s outstanding Common Stock, the ValueAct Designee ceases to satisfy certain conditions, a member of the ValueAct Group breaches the agreement, or the employment of the ValueAct Designee with the ValueAct Group is terminated.",Yes,ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.docx,Indianapolis,San Francisco
27,CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.docx,Cooperation Agreement,"['Xi’an Zhonghong New Energy Technology Co., Ltd.', 'Boxing County Chengli Gas Supply Co., Ltd.']","Xi’an Zhonghong New Energy Technology Co., Ltd.","Boxing County Chengli Gas Supply Co., Ltd.",July 2013,,,,Yes,176 million RMB,The agreement shall be automatically terminated if any main equipment of any Party stops operation due to technical problem or at the end of its life cycle.,Yes,CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.docx,Xi’an,Shandong
28,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.docx,Agreement,"['Newegg', 'Allied Esports International, Inc.']",Newegg,Allied,"February 1, 2019","February 1, 2019","January 31, 2024",sixty (60) calendar days,Yes,Sponsorship Fee,"The contract can be terminated for convenience after Contract Year 2, for breach of contract, or for insolvency, receivership, or bankruptcy proceedings.",Yes,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.docx,Delaware,Nevada
29,AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.docx,SITE DEVELOPMENT AND HOSTING AGREEMENT,"['Hanover Direct, Inc. (HDI)', 'The Deerskin Companies, Inc. (the ""Company"")']",HDI,the Company,"August 9, 1999",the date the Site becomes fully operational,one (1) year from the Effective Date,ninety (90) days,Yes,"thirty percent (30%) of the Net Sales in excess of Eleven Thousand Dollars ($11,000) per calendar month","This Agreement shall be automatically renewed for an additional one year period on each anniversary of the Effective Date, unless terminated by either Party hereto upon ninety (90) days written notice to the other.",Yes,AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.docx,NJ,NV
30,ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.docx,Agreement,"['ARCA U.S. TREASURY FUND', 'ARCA CAPITAL MANAGEMENT, LLC']",ARCA U.S. TREASURY FUND,"ARCA CAPITAL MANAGEMENT, LLC","[___], 2020",first date above written,,60 days,Yes,0.20% of the value of the Fund’s average annual net assets,"This Agreement may be terminated at any time, without the payment of any penalty, upon 60 days' written notice, by the vote of a majority of the outstanding voting securities of the Fund or by the vote of the Fund's Trustees or by the Blockchain Administrator.",Yes,ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.docx,Delaware,Delaware
31,ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.docx,TRADEMARK LICENSE AGREEMENT,"['ARCONIC INC.', 'ARCONIC ROLLED PRODUCTS CORP.']",ARCONIC ROLLED PRODUCTS CORP.,ARCONIC INC.,"[ ] day of [ ], 2020",Effective Date,,one hundred twenty (120) days,Yes,,Licensor and Licensee will be entitled to terminate this Agreement by written notice to the other party in the event the other party is in material breach of any of its obligations hereunder and shall fail to remedy any such default within one hundred twenty (120) days after notice thereof by the non-breaching party.,Yes,ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.docx,Delaware,Delaware
32,ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.docx,COLLABORATION AGREEMENT,"['Anixa Biosciences, Inc.', 'OntoChem GmbH']","Anixa Biosciences, Inc.",OntoChem GmbH,"April 14th, 2020","April 14th, 2020",,30 days,Yes,"100,002 Euros","The agreement may be terminated by either party for material breach by the other party, provided that the terminating party has given the breaching party written notice of the breach and at least sixty (60) days to cure the breach prior to the effective date of termination.",No,ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.docx,U.S.A.,Germany
33,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.docx,AGENCY AGREEMENT,"['Mutual Insurance Corporation of America', 'Stratton, Cheeseman & Walsh-Nevada, Inc.']",Mutual Insurance Corporation of America,"Stratton, Cheeseman & Walsh-Nevada, Inc.","May 25th, 1999","May 25th, 1999",,120 days,Yes,,"The agreement can be terminated by either party giving at least 120 days advance written notice, automatically if any public authority cancels or declines to renew the Agency's license or Certificate of Authority, immediately if either party gives detailed written notice to the other of alleged gross and willful misconduct, fraud or material misrepresentation, or by MICOA if the Agency is delinquent in either accounting or payment of monies due.",Yes,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.docx,Michigan,Nevada
34,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.docx,Endorsement Agreement,"['Kathy Ireland, Inc.', 'The Sterling/Winters Co.', 'Diplomat Ambassador Eyewear Group']","Kathy Ireland, Inc.",Diplomat Ambassador Eyewear Group,"August 24, 1995","August 1, 1995","January 30, 2000",twenty (20) days,Yes, % of the net wholesale volume,"The contract can be terminated if Diplomat fails to commence selling the product in commercial quantities within 90 days after notice, files a petition in bankruptcy, is adjudicated a bankrupt, becomes insolvent, makes an assignment for the benefit of its creditors, discontinues its business, or if a receiver is appointed for it or its business.",Yes,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.docx,California,Pennsylvania
35,"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..docx",PROMOTION AGREEMENT,"['ASHWORTH, INC.', 'JAMES W. NANTZ III', 'NANTZ COMMUNICATIONS, INC.']","ASHWORTH, INC.",JAMES W. NANTZ III,"December 16, 1998","June 1, 1998","May 31, 2001",sixty (60) days,Yes,"$30,000","This Agreement may be terminated by any party in the following circumstances: Upon mutual consent of the Company, on the one hand, and Nantz Communications and Nantz, on the other hand; Nantz’s Disability or death, in which event the Agreement shall terminate on the May 1 following such Disability or death; Repeated misconduct of Nantz which subjects Nantz to continued public ridicule causing a substantial loss of Nantz’s positive public image; Nantz’s conviction or plea of guilty or no contest to a felony involving moral turpitude; A finding of insolvency or bankruptcy against the other party (which, in the case of a desired termination by the Company, shall mean Nantz Communications or Nantz); and Failure to comply with the terms and conditions of this Agreement after being given notice thereof and, where applicable, a reasonable opportunity to cure the failure (which shall be 10 days in the event of a failure to timely make a payment pursuant hereto; 30 days otherwise).",Yes,"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..docx",California,New York
36,Apollo Endosurgery - Manufacturing and Supply Agreement.docx,MANUFACTURING AND SUPPLY AGREEMENT,"['APOLLO', 'ESTABLISHMENT']",APOLLO,ESTABLISHMENT,"December 5, 2014","December 5, 2014",,one (1) year,Yes,,"Either Party may terminate this Agreement (i) for material breach upon one hundred and twenty (120) days written notice specifying the nature of the breach, if such breach has not been substantially cured within the one hundred twenty (120) day period, or (ii) if the other Party shall formally declare bankruptcy, insolvency, reorganization, liquidation, or receivership; or is named in an action for bankruptcy, insolvency, reorganization, liquidation, or receivership proceedings, and fails to remove itself from such proceedings within ten (90) days from the date of institution of such proceedings.",Yes,Apollo Endosurgery - Manufacturing and Supply Agreement.docx,Delaware,Costa Rica
37,ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.docx,INTELLECTUAL PROPERTY AGREEMENT,"['Armstrong Flooring, Inc.', 'AFI Licensing LLC', 'AHF Holding, Inc.', 'Armstrong Hardwood Flooring Company']","Armstrong Flooring, Inc.",AFI Licensing LLC,"December 31, 2018","December 31, 2018",,thirty (30) days,Yes,,Either Party may terminate this Agreement if the other Party materially breaches this Agreement and fails to remedy such breach within thirty (30) days’ written notice thereof,Yes,ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.docx,Delaware,Tennessee
38,ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.docx,Agreement,"['695014 B.C. Ltd. dba Galaxy Telecom', 'Galaxy Telnet SRL']",Galaxy,Telnet,"June 1, 2004",,,60 days,Yes,,"Either party may terminate the agreement if the other commits a material breach, fraud, misrepresentation, or is unable to perform its obligations.",Yes,ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.docx,Canada,Romania
39,ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.docx,Agreement,"['ArTara, Inc.', 'The University of Iowa']","ArTara, Inc.",The University of Iowa,"November 28, 2018","November 28, 2018",,30 days,Yes,"thirty thousand dollars (US $30,000)","Either Party may terminate the Project and all commitments and obligations with respect thereto, subject to Section 8.3 herein, upon thirty (30) days written notice to the other Party.",Yes,ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.docx,New York,Iowa
40,ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.docx,AGREEMENT,"['Arkansas Western Pipeline Company', 'Associated Natural Gas Company']",Arkansas Western Pipeline Company,Associated Natural Gas Company,"May 20, 1992",physical completion of and initial deliveries on Transporter's pipeline,,sixty (60) days for interruptible transportation under Rate Schedule ITS and 180 days for firm transportation under Rate Schedule FTS,,,The contract can be terminated by either Transporter or Shipper upon written notice to the other specifying a termination date.,Yes,ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.docx,Arkansas,Null
41,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.docx,Agreement,"['Accuray', 'Siemens']",Accuray,Siemens,"June 8, 2010","June 8, 2010",,30 days,Yes,,"If either party commits a material breach of a material provision of this Agreement, if such breach was not excused as a force majeure pursuant to Section 12.12, and if the breaching party has not cured such breach to the other party’s reasonable satisfaction within 30 days after written notice from the other party specifying the nature of such breach, then the other party shall have the right to terminate this Agreement upon delivery of written notice to the breaching Party.",Yes,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.docx,California,Germany
42,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.docx,Agreement,"['The University of Texas M. D. Anderson Cancer Center', 'Adaptimmune LLC', 'Adaptimmune Limited']",MD Anderson,Adaptimmune,"September, 2016","September, 2016",,thirty (30) days,Yes,"nineteen million six hundred and forty four thousand Dollars US ($19,644,000)",A Party will have the right to terminate this Agreement if the other Party commits a material breach of the Agreement and fails to cure such breach within thirty (30) days of receiving notice from the non-breaching Party of such breach.,Yes,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.docx,Houston,Philadelphia
43,AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.docx,SERVICING AGREEMENT,"['Nationwide Fund Management LLC', 'Nationwide Mutual Funds', 'American United Life Insurance Company', 'OneAmerica Securities, Inc.']",Nationwide Fund Management LLC,"American United Life Insurance Company, and OneAmerica Securities, Inc.",,the date a fully executed copy of this Agreement is received by Nationwide,,ninety (90) days,Yes,a fee at the annual rate designated in Appendix A of the average daily net assets of a Fund’s Shares owned of record or beneficially by your customers,"This Agreement may be terminated as to the payments made on behalf of the Funds at any time, without the payment of any penalty, by the vote of a majority of the members of the Board of Trustees and who have no direct or indirect financial interest in the operation of the Administrative Services Plan or in any related agreements to the Administrative Services Plan (“Disinterested Trustees”) or by a majority of the outstanding voting securities of a Fund, on at least sixty (60) days written notice to the parties to this Agreement.",Yes,AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.docx,Null,Null
